,id,state_name,state_ab,county,city,zip_code,census_lat,census_lon,mean,median,stdev,sum_w
8690,170239,Illinois,IL,Adams County,Malden,61337,41.3806062,-89.3207034,59162,48729,45119,834.2017211
8691,17023909,Illinois,IL,Adams County,Chicago,60657,41.9347312,-87.6346613,66627,39274,66074,244.3253305
8692,170212319,Illinois,IL,Adams County,Joliet,60433,41.5160928,-88.080701,58092,49630,40434,241.4206691
8693,17023929,Illinois,IL,Adams County,Chicago,60657,41.9289455,-87.6608922,139674,300000,90659,159.8582534
8694,17023939,Illinois,IL,Adams County,Chicago,60614,41.9217778,-87.6510614,97440,71069,76233,238.4796504
8695,17023949,Illinois,IL,Adams County,Chicago,60614,41.9142425,-87.6250924,112567,104894,61768,274.6711691
8696,17023959,Illinois,IL,Adams County,Chicago,60610,41.9075537,-87.6267897,125447,112880,88353,206.8733375
8697,17023969,Illinois,IL,Adams County,Chicago,60610,41.9058588,-87.6309008,95431,101592,58696,126.3880271
8698,17023979,Illinois,IL,Adams County,Chicago,60610,41.9002655,-87.6321089,94403,300000,53619,110.589766
8699,17023989,Illinois,IL,Adams County,Chicago,60610,41.8991538,-87.626212,106815,61702,88523,456.4697201
8700,1702399,Illinois,IL,Adams County,Chicago,60647,41.9211256,-87.6997541,62390,49719,51452,735.3345261
8701,17023999,Illinois,IL,Adams County,Chicago,60610,41.8983354,-87.6207531,103534,85645,72638,148.5555851
8702,17024009,Illinois,IL,Adams County,Chicago,60610,41.892559,-87.62623,105234,83428,68215,333.7653224
8703,17024019,Illinois,IL,Adams County,Chicago,60610,41.89799,-87.641487,136276,133135,92240,153.8180204
8704,17024029,Illinois,IL,Adams County,Chicago,60631,41.9991127,-87.8163644,94070,84221,68786,221.4199759
8705,17024039,Illinois,IL,Adams County,Chicago,60631,41.9956583,-87.7943145,75901,300000,46371,273.0888027
8706,17024059,Illinois,IL,Adams County,Chicago,60656,41.9792049,-87.7974007,76401,64415,47874,340.8499858
8707,17024069,Illinois,IL,Adams County,Chicago,60646,41.9874756,-87.7696729,123550,300000,82252,179.1904332
8708,17024079,Illinois,IL,Adams County,Chicago,60630,41.9729536,-87.7726114,71379,60056,64812,229.8563134
8709,170212289,Illinois,IL,Adams County,Joliet,60435,41.5405416,-88.1331334,39682,35871,29281,756.749084
8710,1702409,Illinois,IL,Adams County,Chicago,60647,41.912008,-87.7043655,55953,37846,53724,386.5142603
8711,17024099,Illinois,IL,Adams County,Chicago,60646,41.9911122,-87.740066,139235,145902,72977,53.15695675
8712,17024109,Illinois,IL,Adams County,Chicago,60625,41.9865589,-87.7133915,99150,81779,61002,136.7904885
8713,17024129,Illinois,IL,Adams County,Chicago,60625,41.9653619,-87.7318319,66617,48776,60243,289.1553993
8714,17024139,Illinois,IL,Adams County,Chicago,60625,41.9635482,-87.7135753,57811,35540,55642,325.2205753
8715,17024149,Illinois,IL,Adams County,Chicago,60641,41.9606747,-87.7524131,71365,56846,61488,365.7164172
8716,17022169,Illinois,IL,Adams County,La Salle,61301,41.3387721,-89.1011838,53028,46438,38325,899.8973255
8717,17024169,Illinois,IL,Adams County,Chicago,60634,41.9567784,-87.7818414,57024,47202,39982,324.3202102
8718,17024179,Illinois,IL,Adams County,Chicago,60641,41.9497086,-87.7521182,75940,58719,63455,182.3561552
8719,17024189,Illinois,IL,Adams County,Chicago,60641,41.9424917,-87.7471554,46902,300000,34461,148.1973812
8720,17024199,Illinois,IL,Adams County,Chicago,60641,41.9587937,-87.7384,50661,38133,41564,194.4630719
8721,17024209,Illinois,IL,Adams County,Chicago,60618,41.9592098,-87.7129732,59513,44897,53424,507.1823235
8722,17024219,Illinois,IL,Adams County,Chicago,60618,41.956093,-87.7006348,64793,53497,47435,365.6194483
8723,17022119,Illinois,IL,Adams County,Lake Zurich,60047,42.1666481,-88.0792282,131337,120625,73403,406.0014342
8724,17024239,Illinois,IL,Adams County,Chicago,60641,41.9426994,-87.7310023,43094,32965,42559,306.7884257
8725,17024249,Illinois,IL,Adams County,Chicago,60634,41.9491248,-87.7968278,86812,96508,49906,172.4236754
8726,17024259,Illinois,IL,Adams County,Chicago,60634,41.9412943,-87.8307016,81536,60752,65695,170.7579001
8727,17024269,Illinois,IL,Adams County,Chicago,60634,41.9418072,-87.7965238,78491,57812,70699,271.7164282
8728,17024279,Illinois,IL,Adams County,Chicago,60634,41.9344789,-87.7986731,72673,41893,71322,324.6520629
8729,1702429,Illinois,IL,Adams County,Chicago,60622,41.9066403,-87.6895801,81906,65457,65686,858.6231099
8730,17024299,Illinois,IL,Adams County,Chicago,60634,41.9275604,-87.7707371,62159,45322,46796,290.1560615
8731,17024309,Illinois,IL,Adams County,Chicago,60639,41.9278186,-87.7513624,48380,48232,24229,367.6867815
8732,17021229,Illinois,IL,Adams County,Lemont,60439,41.6833646,-87.9477041,95051,72641,76451,971.5142097
8733,17024329,Illinois,IL,Adams County,Chicago,60641,41.9350552,-87.7376226,59168,39854,47605,451.0471041
8734,17024339,Illinois,IL,Adams County,Chicago,60639,41.9196348,-87.7296789,53307,33121,51170,343.1243384
8735,17024349,Illinois,IL,Adams County,Chicago,60647,41.9337846,-87.7220524,32739,27415,27573,485.2613339
8736,17024359,Illinois,IL,Adams County,Chicago,60618,41.9357029,-87.7038401,62594,39563,58750,443.6193914
8737,17024379,Illinois,IL,Adams County,Chicago,60647,41.9261554,-87.7215651,60965,53395,43578,330.8869326
8738,17024389,Illinois,IL,Adams County,Chicago,60647,41.9209604,-87.7152526,64212,46877,54666,300.6543217
8739,1702439,Illinois,IL,Adams County,Chicago,60622,41.8994219,-87.68449,78935,65049,60992,719.4646253
8740,17024399,Illinois,IL,Adams County,Chicago,60647,41.9208013,-87.694532,64969,56667,56422,257.5552136
